id,title,type,district,priceEUR,areaSqM,rooms,bedrooms,floor,totalFloors,constructionType,yearBuilt,heatingType,hasElevator,hasParking,hasBalcony,latitude,longitude,isAvailable,distanceToSchool,distanceToKindergarten,distanceToUniversity,distanceToPark,distanceToTransport,distanceToHospital,distanceToPharmacy
P001,3-room apartment in Center,Apartment,Center,82872,56,3,2,2,6,Brick,1976,Electric,false,false,true,42.143400,24.745100,true,333,291,397,239,163,737,211
P002,4-room apartment in OldTown,Apartment,OldTown,93936,64,4,3,3,7,Panel,1977,Gas,true,true,true,42.150100,24.749300,true,416,362,494,298,206,874,272
P003,5-room apartment in Kapana,Apartment,Kapana,105592,72,5,4,4,8,EPC,1978,District Heating,true,false,true,42.149900,24.748100,true,499,433,591,357,249,1011,333
P004,5-room house in Kamenitsa,House,Kamenitsa,189284,158,5,3,0,2,Monolithic,1979,Air Conditioning,false,true,false,42.147300,24.769200,true,582,504,688,416,292,1148,394
P005,3-room apartment in Karshiyaka,Apartment,Karshiyaka,108680,88,3,2,6,10,New Construction,1980,Central,true,false,true,42.160000,24.742400,true,665,575,785,475,335,1285,455
P006,4-room apartment in Trakia,Apartment,Trakia,122112,96,4,3,7,11,Brick,1981,Electric,true,true,true,42.133400,24.792800,true,748,646,882,534,378,1422,516
P007,5-room apartment in KuchukParis,Apartment,KuchukParis,136136,104,5,4,8,12,Panel,1982,Gas,true,false,true,42.127700,24.723700,true,831,717,979,593,421,1559,577
P008,6-room house in Smirnenski,House,Smirnenski,164212,122,6,4,0,2,EPC,1983,District Heating,false,true,false,42.143600,24.704000,true,914,788,1076,652,464,1696,638
P009,3-room apartment in Komatevo,Apartment,Komatevo,165960,120,3,2,4,6,Monolithic,1984,Air Conditioning,true,false,true,42.113800,24.696600,true,997,859,1173,711,507,1833,699
P010,4-room apartment in Proslav,Apartment,Proslav,68160,48,4,3,4,7,New Construction,1985,Central,true,true,true,42.135800,24.670500,true,1080,930,1270,770,550,1970,760
P011,5-room apartment in Ostromila,Apartment,Ostromila,81592,56,5,4,4,8,Brick,1986,Electric,true,false,true,42.117900,24.718000,true,1163,1001,1367,829,593,2107,821
P012,4-room house in Belomorski,House,Belomorski,253980,170,4,2,0,2,Panel,1987,Gas,true,true,false,42.106200,24.731600,true,1246,1072,1464,888,636,2244,882
P013,3-room apartment in Center,Apartment,Center,132232,72,3,2,4,10,EPC,1988,District Heating,true,false,true,42.146800,24.754600,true,1329,1143,1561,947,679,2381,943
P014,4-room apartment in OldTown,Apartment,OldTown,147440,80,4,3,4,11,Monolithic,1989,Air Conditioning,true,true,true,42.153500,24.745500,true,1412,1214,1658,1006,722,2518,1004
